,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,r1_setscore,r2_setscore
2018-07-07 10:36:14,0.4245970853807616,0.09523809523809512,0.03698224852071006,0.05128205128205133,0.7346179851250846,3.0,3.0
2018-07-07 10:36:16,0.4245102464464907,0.09655649766395562,0.03770112563839144,0.05303678357570585,0.7333263202465443,3.0,3.0
2018-07-07 10:36:18,0.42442340751221974,0.09991747116288875,0.03953338928814982,0.04696361875778117,0.6280762610050096,3.0,3.0
2018-07-07 10:36:20,0.4243365685779489,0.1037752111704877,0.041635843702730456,0.039746256165163946,0.5758931707179493,3.0,3.0
2018-07-07 10:36:22,0.4242497296436779,0.10207391559405066,0.24150273338646305,0.03502022967494931,0.5776580805570056,3.0,3.0
2018-07-07 10:36:24,0.42416289070940705,0.10093802152270225,0.3036175871834258,0.03137946035791695,0.5771798417885594,3.0,3.0
2018-07-07 10:36:26,0.4240760517751361,0.1001258358212636,0.2925272119419828,0.028260270793929766,0.566711639685939,3.0,3.0
2018-07-07 10:36:28,0.4239892128408652,0.09951624049758118,0.3039127286502655,0.024813913837098432,0.5814783938704685,3.0,3.0
2018-07-07 10:36:30,0.42390237390659424,0.09904184028111135,0.3289226437433854,0.022359100445785787,0.5922606716885653,3.0,3.0
2018-07-07 10:36:32,0.4238155349723234,0.0986621495488644,0.30794281788310995,0.021294195854411054,0.5949604186252998,3.0,3.0
2018-07-07 10:36:34,0.4237286960380524,0.09866183779070475,0.33961607692014867,0.020949435877661363,0.5985204245191065,3.0,3.0
2018-07-07 10:36:36,0.42364185710378155,0.09824464555617321,0.35960997052469995,0.0208549171451136,0.6007531501177934,3.0,3.0
2018-07-07 10:36:38,0.4235550181695106,0.09750756400051433,0.37159516020325767,0.020953262676616152,0.6018453753142629,3.0,3.0
2018-07-07 10:36:40,0.4234681792352397,0.09652004513250048,0.37799275635560814,0.021203228810663305,0.6019832324312829,3.0,3.0
2018-07-07 10:36:42,0.42338134030096874,0.09533312606612157,0.3804431012553491,0.02157440796607021,0.6013417119335385,3.0,3.0
2018-07-07 10:36:44,0.4232945013666979,0.09398515108016231,0.38008237523310856,0.022043889947985982,0.6000785267543516,3.0,3.0
2018-07-07 10:36:46,0.4232076624324269,0.0925054849091109,0.3777121029299445,0.02259408601581915,0.5983313366193835,3.0,3.0
2018-07-07 10:36:48,0.42312082349815605,0.09091699451313087,0.3739064043730085,0.02321126918609592,0.5962173161157464,3.0,3.0
2018-07-07 10:36:50,0.4230339845638851,0.089237750876764,0.3690817394324204,0.023884570024392714,0.5938341987152972,3.0,3.0
2018-07-07 10:36:52,0.422977539256609,0.08748222258649421,0.36354334922855436,0.02460527030277231,0.5912621343498518,3.0,3.0
2018-07-07 10:36:54,0.422977539256609,0.08574638797091713,0.35796174877227943,0.025168719602823318,0.5879629001225108,3.0,3.0
2018-07-07 10:36:56,0.422977539256609,0.08419306550210776,0.3529347423445578,0.025814017965124624,0.5926063593127894,3.0,3.0
2018-07-07 10:36:58,0.422977539256609,0.0828209968007209,0.34807846164859435,0.02627695326358429,0.5960959697936743,3.0,3.0
2018-07-07 10:37:00,0.422977539256609,0.0816070799557049,0.3433749730257795,0.02658048556341561,0.5985845696256091,3.0,3.0
2018-07-07 10:37:02,0.422977539256609,0.08053198245535195,0.33880989281824814,0.026743835092041392,0.6001937465650098,3.0,3.0
2018-07-07 10:37:04,0.422977539256609,0.07957940253296204,0.3343714735714026,0.026783213759748674,0.6010210386575114,3.0,3.0
2018-07-07 10:37:06,0.422977539256609,0.07873549765841555,0.3300499629273645,0.026712391439566968,0.6011452017565357,3.0,3.0
2018-07-07 10:37:08,0.422977539256609,0.07798843765309896,0.32583714452021006,0.026459552832201277,0.6005338354205356,3.0,3.0
2018-07-07 10:37:10,0.422977539256609,0.07732805183537741,0.3217260031061527,0.025952434732206743,0.5991817581909904,3.0,3.0
