,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 12:04:00,0.9069264069264069,0.02256475448911486,0.2951326224006183,0.3582819229426144,0.6553755211162292,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:05,0.9069264069264069,0.020370909283314472,0.3461118570181401,0.30348228784507125,0.7293280571095362,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:10,0.9069264069264069,0.0243628904322435,0.3764264475411822,0.3261333966294802,0.7078052532153626,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:15,0.9069264069264069,0.020512768328236845,0.44481005607817053,0.3065377919193132,0.6869851328383583,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:20,0.9069264069264069,0.018209716673592082,0.4992345722424287,0.3195520076254022,0.6727851670532269,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:25,0.9069264069264069,0.016677263466230063,0.543615921091823,0.3281175912754861,0.6625250853656275,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:30,0.9069264069264069,0.015584078090929984,0.5804865482899604,0.33418259739821504,0.6549362309255833,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:35,0.9069264069264069,0.01631440280599817,0.6116003114245249,0.33367300223000024,0.6488532528676677,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:40,0.9069264069264069,0.017634105003492623,0.6382195811503655,0.32815750243041525,0.6642914141446536,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:45,0.9069264069264069,0.018097570776401554,0.6612629603603137,0.3201887167454848,0.6820845879649329,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:50,0.9069264069264069,0.017940176790873282,0.6814145603097028,0.3136120763740986,0.6950390278407522,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:04:55,0.9069264069264069,0.017608519297524793,0.6814792445994541,0.2937437324885147,0.5900234440858523,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:00,0.9069264069264069,0.01648589215307788,0.7867683164513266,0.26664518028366185,0.5046033169341975,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:05,0.9069264069264069,0.016155606599755876,0.8288793784994293,0.24927677562379538,0.43370665948297754,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:10,0.9069264069264069,0.014987772143972755,0.8361536300898912,0.22149540691320735,0.3921838963035586,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:15,0.9069264069264069,0.015746710588894104,0.779886210141514,0.20462941241254393,0.36312765737144126,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:20,0.9069264069264069,0.016506220952510635,0.7306974417375613,0.17717421028385594,0.3394889980658205,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:25,0.9069264069264069,0.017266303881543533,0.6872851270854431,0.1498064947408931,0.32050792201292444,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:30,0.9069264069264069,0.018026960023688855,0.6486388482577033,0.12252584828204441,0.30471375734394335,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:35,0.9069264069264069,0.017758527416449777,0.6139870615463761,0.0991056061914513,0.2916079379334575,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:40,0.9069264069264069,0.016924389481101025,0.5830027923157051,0.08016327163284552,0.27307710622292114,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:45,0.9069264069264069,0.016755272619555686,0.5545163964923306,0.06470803177065641,0.25369990035663037,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:50,0.9069264069264069,0.01690623692594663,0.5296664488128983,0.049480757483200855,0.23592267092203079,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:05:55,0.9069264069264069,0.01888226855034432,0.5188020490575375,0.046511627906976744,0.22985807104473402,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:00,0.9069264069264069,0.018882268550344528,0.5197344007134634,0.046511627906976744,0.226571535155785,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:05,0.9069264069264069,0.018861105879078865,0.5326785553247821,0.046511627906976744,0.2232903250874698,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:10,0.9069264069264069,0.01886110587907866,0.536788912710613,0.046511627906976744,0.22011372179016409,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:15,0.9069264069264069,0.01809669061489281,0.5630821790018463,0.046511627906976744,0.217201552641322,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:20,0.9069264069264069,0.01747692985911292,0.5827157105657614,0.046511627906976744,0.21523427924832306,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:25,0.9069264069264069,0.017063281612484302,0.5900812398737951,0.04668120037372405,0.21200578362943068,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:30,0.9069264069264069,0.018421818955439324,0.5843930010351099,0.04826523288608705,0.20583375499006543,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:35,0.9069264069264069,0.019349422632657036,0.566481488343936,0.0512703030858399,0.2001792441867244,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:40,0.9069264069264069,0.01955309161389162,0.5383106516242732,0.05570893145149709,0.19506471107563286,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:45,0.9069264069264069,0.01978907357720909,0.503190805541938,0.06159971219570695,0.19071737085224866,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:50,0.9069264069264069,0.02040458837735459,0.46330090182721106,0.06896750919210559,0.18772237540188896,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:06:55,0.9069264069264069,0.019241390546717328,0.43296121738459287,0.07784372081150548,0.18283718186349102,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:00,0.9069264069264069,0.019444900585506644,0.42548615284739033,0.08826661898579698,0.17824129893014076,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:05,0.9069264069264069,0.019034763777164038,0.42595421696757607,0.10028176942992277,0.17032690483502128,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:10,0.9069264069264069,0.018469954876794953,0.43570017136732203,0.11394254179516328,0.1700010819331678,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:15,0.9069264069264069,0.018469954876794953,0.43555638219196996,0.1293107206696604,0.17163205336050943,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:20,0.9069264069264069,0.01832604551089013,0.440579325374177,0.14645723086880708,0.17428454646091424,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:25,0.9069264069264069,0.018276195980507656,0.44218088923691967,0.16527316804807415,0.18005206627750653,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:30,0.9069264069264069,0.017136372044390696,0.4267421306266805,0.1844219052091656,0.1932156738148767,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:35,0.9069264069264069,0.015444282030541816,0.45426320050922064,0.2039123505485783,0.20904956650327614,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:40,0.9069264069264069,0.014478913240286521,0.49489263248636023,0.2237537330576615,0.22899261472860685,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:45,0.9069264069264069,0.013309386990127504,0.5555787175878395,0.21690137648514005,0.21654114024329882,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:50,0.9069264069264069,0.011936415729050562,0.6490136604350499,0.21040229247664483,0.21052057166722407,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:07:55,0.9069264069264069,0.010721567697836354,0.7633135220120639,0.20824726949552236,0.2319992110727136,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:08:00,0.9069264069264069,0.010519235646315453,0.7861794064823847,0.20418505261398906,0.2538849693718682,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-11 12:08:05,0.9070031623223113,0.010519235646315453,0.7859797249925877,0.19823666884063473,0.28194788313033287,0.7281701490572396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
