,rmse,mae
"window size: 25, lstm 1 dim: 100, lstm 2 dim: 100",0.0540020962216945,0.03477580100297928
"window size: 50, lstm 1 dim: 100, lstm 2 dim: 100",0.06003598431158806,0.04384060204029083
"window size: 75, lstm 1 dim: 100, lstm 2 dim: 100",0.06374007328902039,0.046172965317964554
"window size: 25, lstm 1 dim: 100, lstm 2 dim: 200",0.05267767595498144,0.03179832547903061
"window size: 50, lstm 1 dim: 100, lstm 2 dim: 200",0.052818771662141724,0.030675768852233887
"window size: 75, lstm 1 dim: 100, lstm 2 dim: 200",0.056797873968340774,0.034476540982723236
"window size: 25, lstm 1 dim: 100, lstm 2 dim: 300",0.05119367619196997,0.02907237410545349
"window size: 50, lstm 1 dim: 100, lstm 2 dim: 300",0.05197032002155117,0.029378941282629967
"window size: 75, lstm 1 dim: 100, lstm 2 dim: 300",0.0554307431314718,0.03216040879487991
"window size: 25, lstm 1 dim: 200, lstm 2 dim: 100",0.0555325363829421,0.03729313984513283
"window size: 50, lstm 1 dim: 200, lstm 2 dim: 100",0.05427425148190033,0.03782078996300697
"window size: 75, lstm 1 dim: 200, lstm 2 dim: 100",0.05869896898719787,0.04100073501467705
"window size: 25, lstm 1 dim: 200, lstm 2 dim: 200",0.04993820059300378,0.028830138966441154
"window size: 50, lstm 1 dim: 200, lstm 2 dim: 200",0.051974134660700076,0.03177801892161369
"window size: 75, lstm 1 dim: 200, lstm 2 dim: 200",0.058591421398939775,0.035427942872047424
"window size: 25, lstm 1 dim: 200, lstm 2 dim: 300",0.05209241753074317,0.030317237600684166
"window size: 50, lstm 1 dim: 200, lstm 2 dim: 300",0.0543675086736477,0.029037320986390114
"window size: 75, lstm 1 dim: 200, lstm 2 dim: 300",0.05439000872811072,0.03258228674530983
"window size: 25, lstm 1 dim: 300, lstm 2 dim: 100",0.053416393856564735,0.03177010640501976
"window size: 50, lstm 1 dim: 300, lstm 2 dim: 100",0.0586154301588527,0.040765292942523956
"window size: 75, lstm 1 dim: 300, lstm 2 dim: 100",0.054317853583236375,0.034264568239450455
"window size: 25, lstm 1 dim: 300, lstm 2 dim: 200",0.05011115728791426,0.028852634131908417
"window size: 50, lstm 1 dim: 300, lstm 2 dim: 200",0.05354562591960928,0.03279564902186394
"window size: 75, lstm 1 dim: 300, lstm 2 dim: 200",0.048985732347217543,0.029967963695526123
"window size: 25, lstm 1 dim: 300, lstm 2 dim: 300",0.05202370846711154,0.030577272176742554
"window size: 50, lstm 1 dim: 300, lstm 2 dim: 300",0.050415415450716226,0.03151657432317734
"window size: 75, lstm 1 dim: 300, lstm 2 dim: 300",0.051426064993585895,0.027926849201321602
