,Serve percentage
0.0,0.0
4.421119377934553e-33,0.001
1.9294106077219905e-32,0.002
3.5590696873054025e-32,0.003
4.653810734314483e-32,0.004
5.114060554330256e-32,0.005
5.142771899274455e-32,0.006
5.001241877409428e-32,0.007
4.903135624235211e-32,0.008
5.004590811824394e-32,0.009000000000000001
5.437316491176188e-32,0.01
6.354004281678858e-32,0.011
7.975417005965506e-32,0.012
1.063846888355771e-31,0.013000000000000001
1.4846359245288346e-31,0.014
2.131931906657628e-31,0.015
3.104106502679138e-31,0.016
4.529361140596614e-31,0.017
6.567248102940377e-31,0.018000000000000002
9.407558983605735e-31,0.019
1.3266170756387326e-30,0.02
1.837777892823338e-30,0.021
2.4985799921743435e-30,0.022
3.3330038614442236e-30,0.023
4.3632955039042056e-30,0.024
5.608550626350083e-30,0.025
7.083358001662085e-30,0.026000000000000002
8.796598239616995e-30,0.027
1.0750480837792115e-29,0.028
1.2939883150855678e-29,0.029
1.5352032099474485e-29,0.03
1.7966545294080386e-29,0.031
2.075582480257945e-29,0.032
2.3685775715933013e-29,0.033
2.6716804204117865e-29,0.034
2.980503669818247e-29,0.035
3.290369353897656e-29,0.036000000000000004
3.596454687113537e-29,0.037
3.893939338541487e-29,0.038
4.1781477135332163e-29,0.039
4.444680532897579e-29,0.04
4.689530989255658e-29,0.041
4.909181887385499e-29,0.042
5.100681359694992e-29,0.043000000000000003
5.261695917675884e-29,0.044
5.390540694957002e-29,0.045
5.486187710462843e-29,0.046
5.548253797953022e-29,0.047
5.576970491304293e-29,0.048
5.573138616011843e-29,0.049
5.538070619780117e-29,0.05
5.473523791055604e-29,0.051000000000000004
5.381627482340715e-29,0.052000000000000005
5.264807298458822e-29,0.053
5.125708953829506e-29,0.054
4.967124173905056e-29,0.055
4.791920639277807e-29,0.056
4.602977570340125e-29,0.057
4.403128146494595e-29,0.058
4.1951095640951327e-29,0.059000000000000004
3.981521175467872e-29,0.06
3.764790827868773e-29,0.061
3.5471492426033536e-29,0.062
3.330612044836958e-29,0.063
3.1169688744074806e-29,0.064
2.907778876189949e-29,0.065
2.7043717818968115e-29,0.066
2.507853749356578e-29,0.067
